"input_gene","RNA_assay","SCT_assay"
"Xpr1","Xpr1","Xpr1"
"Acbd6","Acbd6","Acbd6"
"Lhx4","Lhx4","Lhx4"
"Qsox1","Qsox1","Qsox1"
"Cep350","Cep350","Cep350"
"Tor1aip1","Tor1aip1","Tor1aip1"
"Tor1aip2","Tor1aip2","Tor1aip2"
"Fam163a","Fam163a","Fam163a"
"Tdrd5","Tdrd5","Tdrd5"
"Axdnd1","Axdnd1","Axdnd1"
"Soat1","Soat1","Soat1"
"Abl2","Abl2","Abl2"
"Tor3a","Tor3a","Tor3a"
"Fam20b","Fam20b","Fam20b"
"Ralgps2","Ralgps2","Ralgps2"
"Angptl1","Angptl1","Angptl1"
"Rasal2","Rasal2","Rasal2"
"Sec16b","Sec16b","Sec16b"
"Brinp2","Brinp2","Brinp2"
"Astn1","Astn1","Astn1"
"Pappa2","Pappa2","Pappa2"
"Cop1","Cop1","Cop1"
"Tnr","Tnr","Tnr"
"Tnn","Tnn","Tnn"
"Mrps14","Mrps14","Mrps14"
"Cacybp","Cacybp","Cacybp"
"Rabgap1l","Rabgap1l","Rabgap1l"
"Gpr52","Gpr52","Gpr52"
"Rc3h1","Rc3h1","Rc3h1"
"Serpinc1","Serpinc1",NA
"Zbtb37","Zbtb37","Zbtb37"
"LOC120096376","Gm50452","Gm50452"
"LOC120096383","Snord47","Snord47"
"Dars2","Dars2","Dars2"
"Cenpl","Cenpl","Cenpl"
"Klhl20","Klhl20","Klhl20"
"Slc9c2","Ankrd45","Ankrd45"
"Tnfsf4","Tnfsf4","Tnfsf4"
"Tnfsf18","Tnfsf18","Tnfsf18"
"Faslg","Fasl","Fasl"
"Suco","Suco","Suco"
"RGD1309106","4930558K02Rik","4930558K02Rik"
"Pigc","Pigc","Pigc"
"Dnm3","Dnm3","Dnm3"
"Vamp4","Vamp4","Vamp4"
"Myoc","Myoc","Myoc"
"Fmo4","Fmo4","Fmo4"
"Fmo1","Fmo1","Fmo1"
"Fmo2","Fmo2","Fmo2"
"Fmo6","Fmo6","Fmo6"
"Fmo3","Fmo3","Fmo3"
"Prrx1","Prrx1","Prrx1"
"Gorab","Gorab","Gorab"
"Kifap3","Kifap3","Kifap3"
"Scyl3","Scyl3","Scyl3"
"LOC498265","Firrm","Firrm"
"Mettl18","Mettl18","Mettl18"
"Sele","Sele","Sele"
"Sell","Sell","Sell"
"Selp","Selp","Selp"
"F5","F5","F5"
"Slc19a2","Slc19a2","Slc19a2"
"Ccdc181","Ccdc181","Ccdc181"
"Blzf1","Blzf1","Blzf1"
"Nme7","Nme7","Nme7"
"Atp1b1","Atp1b1","Atp1b1"
"Dpt","Dpt","Dpt"
"Xcl1","Xcl1","Xcl1"
"Tbx19","Tbx19","Tbx19"
"Sft2d2","Sft2d2","Sft2d2"
"Tiprl","Tiprl","Tiprl"
"Gpr161","Gpr161","Gpr161"
"Dcaf6","Dcaf6","Dcaf6"
"Mpc2","Mpc2","Mpc2"
"Adcy10","Adcy10","Adcy10"
"Mpzl1","Mpzl1","Mpzl1"
"Rcsd1","Rcsd1","Rcsd1"
"Creg1","Creg1","Creg1"
"Cd247","Cd247","Cd247"
"Pou2f1","Pou2f1","Pou2f1"
"Mael","Mael","Mael"
"Ildr2","Ildr2","Ildr2"
"Tada1","Tada1","Tada1"
"Pogk","Pogk","Pogk"
"LOC685351","Gm4847","Gm4847"
"Fam78b","Fam78b","Fam78b"
"Uck2","Uck2","Uck2"
"Tmco1","Tmco1","Tmco1"
"Aldh9a1","Aldh9a1","Aldh9a1"
"Rxrg","Rxrg","Rxrg"
"Lmx1a","Lmx1a","Lmx1a"
"Pbx1","Pbx1","Pbx1"
"Nuf2","Nuf2","Nuf2"
"Rgs5","Rgs5","Rgs5"
"Rgs4","Rgs4","Rgs4"
"Ccdc190","Ccdc190","Ccdc190"
"Hsd17b7","Hsd17b7","Hsd17b7"
"Ddr2","Ddr2","Ddr2"
"Uap1","Uap1","Uap1"
"Uhmk1","Uhmk1","Uhmk1"
"Spata46","Spata46","Spata46"
"Olfml2b","Olfml2b","Olfml2b"
"Atf6","Atf6","Atf6"
"Dusp12","Dusp12","Dusp12"
"Fcrlb","Fcrlb","Fcrlb"
"Fcrla","Fcrla","Fcrla"
"Fcgr3a","Fcgr4","Fcgr4"
"Cfap126","Cfap126","Cfap126"
"Sdhc","Sdhc","Sdhc"
"Mpz","Mpz","Mpz"
"Pcp4l1","Pcp4l1","Pcp4l1"
"Nr1i3","Nr1i3","Nr1i3"
"Tomm40l","Tomm40l","Tomm40l"
"Apoa2","Apoa2","Apoa2"
"Fcer1g","Fcer1g","Fcer1g"
"Ndufs2","Ndufs2","Ndufs2"
"Adamts4","Adamts4","Adamts4"
"B4galt3","B4galt3","B4galt3"
"Ppox","Ppox","Ppox"
"Usp21","Usp21","Usp21"
"Ufc1","Ufc1","Ufc1"
"Dedd","Dedd","Dedd"
"Nit1","Nit1","Nit1"
"Pfdn2","Pfdn2","Pfdn2"
"Klhdc9","Klhdc9","Klhdc9"
"Nectin4","Nectin4","Nectin4"
"Arhgap30","Arhgap30","Arhgap30"
"F11r","F11r","F11r"
"LOC120096440","Gm24871",NA
"Itln1","Itln1","Itln1"
"Slamf7","Slamf7","Slamf7"
"Cd48","Cd48","Cd48"
"Slamf1","Slamf1","Slamf1"
"Cd84","Cd84","Cd84"
"Vangl2","Vangl2","Vangl2"
"Nhlh1","Nhlh1","Nhlh1"
"Ncstn","Ncstn","Ncstn"
"Copa","Copa","Copa"
"Dcaf8","Dcaf8","Dcaf8"
"Pea15","Pea15a","Pea15a"
"Casq1","Casq1","Casq1"
"Atp1a4","Atp1a4","Atp1a4"
"Atp1a2","Atp1a2","Atp1a2"
"Igsf8","Igsf8","Igsf8"
"Kcnj9","Kcnj9","Kcnj9"
"Kcnj10","Kcnj10","Kcnj10"
"Pigm","Pigm","Pigm"
"Slamf9","Slamf9","Slamf9"
"Igsf9","Igsf9","Igsf9"
"Tagln2","Tagln2","Tagln2"
"Cfap45","Cfap45","Cfap45"
"Vsig8","Vsig8","Vsig8"
"Slamf8","Slamf8","Slamf8"
"Dusp23","Dusp23","Dusp23"
"Apcs","Apcs","Apcs"
"Fcer1a","Fcer1a","Fcer1a"
"Ackr1","Ackr1","Ackr1"
"Cadm3","Cadm3","Cadm3"
"Aim2","Aim2","Aim2"
"LOC102556096","Ifi206","Ifi206"
"RGD1562462","Ifi214","Ifi214"
"Olr1585","Or10aa3","Or10aa3"
"Spta1","Spta1","Spta1"
"Fmn2","Fmn2","Fmn2"
"Grem2","Grem2","Grem2"
"Rgs7","Rgs7","Rgs7"
"Fh","Fh1","Fh1"
"Kmo","Kmo","Kmo"
"Opn3","Opn3","Opn3"
"Chml","Chml","Chml"
"Exo1","Exo1","Exo1"
"Pld5","Pld5","Pld5"
"Cep170","Cep170","Cep170"
"Sdccag8","Sdccag8","Sdccag8"
"Akt3","Akt3","Akt3"
"Zbtb18","Zbtb18","Zbtb18"
"Adss","Adss","Adss"
"Desi2","Desi2","Desi2"
"Efcab2","Efcab2","Efcab2"
"Kif26b","Kif26b","Kif26b"
"Smyd3","Smyd3","Smyd3"
"Tfb2m","Tfb2m","Tfb2m"
"Cnst","Cnst","Cnst"
"Sccpdh","Sccpdh","Sccpdh"
"Ahctf1","Ahctf1","Ahctf1"
"Cdc42bpa","Cdc42bpa","Cdc42bpa"
"Coq8a","Coq8a","Coq8a"
"Psen2","Psen2","Psen2"
"Itpkb","Itpkb","Itpkb"
"Stum","Stum","Stum"
"Parp1","Parp1","Parp1"
"Lin9","Lin9","Lin9"
"Mixl1","Mixl1",NA
"Acbd3","Acbd3","Acbd3"
"Sde2","Sde2","Sde2"
"Lefty2","Lefty2",NA
"Pycr2","Pycr2","Pycr2"
"Lefty1","Lefty1","Lefty1"
"Tmem63a","Tmem63a","Tmem63a"
"Ephx1","Ephx1","Ephx1"
"LOC498300","Degs1l","Degs1l"
"Nvl","Nvl","Nvl"
"Cnih4","Cnih4","Cnih4"
"Wdr26","Wdr26","Wdr26"
"Cnih3","Cnih3","Cnih3"
"Ccdc121","Ccdc121","Ccdc121"
"Dnah14","Dnah14","Dnah14"
"Lbr","Lbr","Lbr"
"Enah","Enah","Enah"
"Srp9","Srp9","Srp9"
"Degs1","Degs1","Degs1"
"Fbxo28","Fbxo28","Fbxo28"
"Tp53bp2","Trp53bp2","Trp53bp2"
"Capn2","Capn2","Capn2"
"Capn8","Capn8","Capn8"
"Susd4","Susd4","Susd4"
"Tlr5","Tlr5","Tlr5"
"Disp1","Disp1","Disp1"
"Brox","Brox","Brox"
"Aida","Aida","Aida"
"Mia3","Mia3","Mia3"
"Taf1a","Taf1a","Taf1a"
"LOC100912365","1700056E22Rik","1700056E22Rik"
"Dusp10","Dusp10","Dusp10"
"Hlx","Hlx","Hlx"
"RGD1310587","C130074G19Rik","C130074G19Rik"
"Mark1","Mark1","Mark1"
"Rab3gap2","Rab3gap2","Rab3gap2"
"Iars2","Iars2","Iars2"
"Bpnt1","Bpnt1","Bpnt1"
"Eprs","Eprs","Eprs"
"Slc30a10","Slc30a10","Slc30a10"
"Lyplal1","Lyplal1","Lyplal1"
"Tgfb2","Tgfb2","Tgfb2"
"Rrp15","Rrp15","Rrp15"
"Spata17","Spata17","Spata17"
"Gpatch2","Gpatch2","Gpatch2"
"Esrrg","Esrrg","Esrrg"
"Ush2a","Ush2a","Ush2a"
"Kctd3","Kctd3","Kctd3"
"Kcnk2","Kcnk2","Kcnk2"
"Cenpf","Cenpf","Cenpf"
"Ptpn14","Ptpn14","Ptpn14"
"Smyd2","Smyd2","Smyd2"
"Prox1","Prox1","Prox1"
"Rps6kc1","Rps6kc1","Rps6kc1"
"Angel2","Angel2","Angel2"
"Vash2","Vash2","Vash2"
"Tatdn3","Tatdn3","Tatdn3"
"Nsl1","Nsl1","Nsl1"
"Batf3","Batf3","Batf3"
"Atf3","Atf3","Atf3"
"Nenf","Nenf","Nenf"
"Pacc1","Pacc1","Pacc1"
"Ppp2r5a","Ppp2r5a","Ppp2r5a"
"Dtl","Dtl","Dtl"
"Ints7","Ints7","Ints7"
"Slc30a1","Slc30a1","Slc30a1"
"Rd3","Rd3","Rd3"
"Traf5","Traf5","Traf5"
"Rcor3","Rcor3","Rcor3"
"Kcnh1","Kcnh1","Kcnh1"
"Hhat","Hhat","Hhat"
"Sertad4","Sertad4","Sertad4"
"Syt14","Syt14","Syt14"
"Utp25","Utp25","Utp25"
"Irf6","Irf6","Irf6"
"LOC100125367","A130010J15Rik","A130010J15Rik"
"Traf3ip3","Traf3ip3","Traf3ip3"
"G0s2","G0s2","G0s2"
"Lamb3","Lamb3","Lamb3"
"Camk1g","Camk1g","Camk1g"
"Plxna2","Plxna2","Plxna2"
"Cd34","Cd34","Cd34"
"Cr2","Cr2","Cr2"
"Ppp2r3b","Ppp2r3d","Ppp2r3d"
"Csf2ra","Csf2ra","Csf2ra"
"Crlf2","Crlf2","Crlf2"
"Tmed11","Tmed11",NA
"Rnf212","Rnf212","Rnf212"
"Fgfrl1","Fgfrl1","Fgfrl1"
"Idua","Idua","Idua"
"Slc26a1","Slc26a1","Slc26a1"
"Dgkq","Dgkq","Dgkq"
"Tmem175","Tmem175","Tmem175"
"Gak","Gak","Gak"
"Pcgf3","Pcgf3","Pcgf3"
"Slc49a3","Slc49a3","Slc49a3"
"Pde6b","Pde6b","Pde6b"
"Dr1","Dr1","Dr1"
"Ccdc18","Ccdc18","Ccdc18"
"Tmed5","Tmed5","Tmed5"
"Mtf2","Mtf2","Mtf2"
"Dipk1a","Dipk1a","Dipk1a"
"Evi5","Evi5","Evi5"
"Gfi1","Gfi1",NA
"Rpap2","Rpap2","Rpap2"
"Glmn","Glmn","Glmn"
"Btbd8","Btbd8","Btbd8"
"Lpcat2b","Lpcat2b","Lpcat2b"
"Ephx4","Ephx4","Ephx4"
"Brdt","Brdt",NA
"Tgfbr3","Tgfbr3","Tgfbr3"
"Cdc7","Cdc7","Cdc7"
"Hfm1","Hfm1","Hfm1"
"Zfp644","Zfp644","Zfp644"
"Barhl2","Barhl2","Barhl2"
"Zfp326","Zfp326","Zfp326"
"Lrrc8d","Lrrc8d","Lrrc8d"
"Lrrc8c","Lrrc8c","Lrrc8c"
"Lrrc8b","Lrrc8b","Lrrc8b"
"Pkd2","Pkd2","Pkd2"
"Spp1","Spp1","Spp1"
"Mepe","Mepe","Mepe"
"Ibsp","Ibsp","Ibsp"
"Dmp1","Dmp1","Dmp1"
"Sparcl1","Sparcl1","Sparcl1"
"LOC100359907","Gm17660","Gm17660"
"Nudt9","Nudt9","Nudt9"
"Hsd17b11","Hsd17b11","Hsd17b11"
"Hsd17b13","Hsd17b13","Hsd17b13"
"Klhl8","Klhl8","Klhl8"
"Aff1","Aff1","Aff1"
"Aff1-as1","1700016H13Rik","1700016H13Rik"
"Slc10a6","Slc10a6","Slc10a6"
"Ptpn13","Ptpn13","Ptpn13"
"Mapk10","Mapk10","Mapk10"
"Arhgap24","Arhgap24","Arhgap24"
"Wdfy3","Wdfy3","Wdfy3"
"Cds1","Cds1","Cds1"
"Nkx6-1","Nkx6-1","Nkx6-1"
"Gpat3","Gpat3","Gpat3"
"Abraxas1","Abraxas1","Abraxas1"
"Mrps18c","Mrps18c","Mrps18c"
"Helq","Helq","Helq"
"Hpse","Hpse","Hpse"
"Coq2","Coq2","Coq2"
"Plac8","Plac8","Plac8"
"Cops4","Cops4","Cops4"
"Lin54","Lin54","Lin54"
"Sec31a","Sec31a","Sec31a"
"Tmem150c","Tmem150c","Tmem150c"
"Enoph1","Enoph1","Enoph1"
"Hnrnpdl","Hnrnpdl","Hnrnpdl"
"Hnrnpd","Hnrnpd","Hnrnpd"
"LOC102557303","Vamp9","Vamp9"
"Rasgef1b","Rasgef1b","Rasgef1b"
"Prkg2","Prkg2","Prkg2"
"Bmp3","Bmp3","Bmp3"
"Cfap299","Cfap299","Cfap299"
"Fgf5","Fgf5",NA
"Prdm8","Prdm8","Prdm8"
"Antxr2","Antxr2","Antxr2"
"Naa11","Naa11","Naa11"
"Paqr3","Paqr3","Paqr3"
"Bmp2k","Bmp2k","Bmp2k"
"Anxa3","Anxa3","Anxa3"
"Fras1","Fras1","Fras1"
"Mrpl1","Mrpl1","Mrpl1"
"Cnot6l","Cnot6l","Cnot6l"
"Cxcl13","Cxcl13","Cxcl13"
"Ccng2","Ccng2","Ccng2"
"Septin11","Septin11","Septin11"
"Ccni","Ccni","Ccni"
"Sowahb","Sowahb","Sowahb"
"Shroom3","Shroom3","Shroom3"
"Ccdc158","Ccdc158","Ccdc158"
"Stbd1","Stbd1","Stbd1"
"Fam47e","Fam47e","Fam47e"
"Scarb2","Scarb2","Scarb2"
"Nup54","Nup54","Nup54"
"Art3","Art3","Art3"
"Cxcl10","Cxcl10","Cxcl10"
"Cxcl9","Cxcl9","Cxcl9"
"Sdad1","Sdad1","Sdad1"
"Naaa","Naaa","Naaa"
"Ppef2","Ppef2","Ppef2"
"Uso1","Uso1","Uso1"
"G3bp2","G3bp2","G3bp2"
"Cdkl2","Cdkl2","Cdkl2"
"Odaph","Odaph","Odaph"
"Parm1","Parm1","Parm1"
"Btc","Btc",NA
"Areg","Areg","Areg"
"Epgn","Epgn","Epgn"
"Mthfd2l","Mthfd2l","Mthfd2l"
"Cxcl2","Cxcl2",NA
"Cxcl1","Cxcl1","Cxcl1"
"Cxcl3","Cxcl3",NA
"Pf4","Pf4","Pf4"
"Cxcl6","Cxcl5","Cxcl5"
"Rassf6","Rassf6","Rassf6"
"Afp","Afp","Afp"
"Alb","Alb","Alb"
"Ankrd17","Ankrd17","Ankrd17"
"Cox18","Cox18","Cox18"
"Adamts3","Adamts3","Adamts3"
"Npffr2","Npffr2",NA
"Gc","Gc",NA
"Slc4a4","Slc4a4","Slc4a4"
"Dck","Dck","Dck"
"Mob1b","Mob1b","Mob1b"
"Grsf1","Grsf1","Grsf1"
"Rufy3","Rufy3","Rufy3"
"Utp3","Utp3","Utp3"
"Jchain","Jchain","Jchain"
"Ambn","Ambn",NA
"Amtn","Amtn",NA
"Sult1d1","Sult1d1","Sult1d1"
"Sult1b1","Sult1b1",NA
"RGD1559459","Ugt2b34",NA
"Ythdc1","Ythdc1","Ythdc1"
"Gnrhr","Gnrhr","Gnrhr"
"Uba6","Uba6","Uba6"
"Stap1","Stap1","Stap1"
"Cenpc","Cenpc1","Cenpc1"
"Epha5","Epha5","Epha5"
"Adgrl3","Adgrl3","Adgrl3"
"Igfbp7","Igfbp7","Igfbp7"
"Polr2b","Polr2b","Polr2b"
"Noa1","Noa1","Noa1"
"Rest","Rest","Rest"
"Spink2","Spink2","Spink2"
"Hopx","Hopx","Hopx"
"Thegl","Thegl","Thegl"
"Arl9","Arl9",NA
"Srp72","Srp72","Srp72"
"Ppat","Ppat","Ppat"
"Aasdh","Aasdh","Aasdh"
"Cracd","Cracd","Cracd"
"Cep135","Cep135","Cep135"
"Exoc1","Exoc1","Exoc1"
"Exoc1l","Exoc1l","Exoc1l"
"Nmu","Nmu","Nmu"
"Pdcl2","Pdcl2","Pdcl2"
"Clock","Clock","Clock"
"Tmem165","Tmem165","Tmem165"
"Srd5a3","Srd5a3","Srd5a3"
"Kdr","Kdr","Kdr"
"Kit","Kit","Kit"
"Pdgfra","Pdgfra","Pdgfra"
"Gsx2","Gsx2","Gsx2"
"Chic2","Chic2","Chic2"
"Lnx1","Lnx1","Lnx1"
"Fip1l1","Fip1l1","Fip1l1"
"Scfd2","Scfd2","Scfd2"
"Rasl11b","Rasl11b","Rasl11b"
"Usp46","Usp46","Usp46"
"Spata18","Spata18","Spata18"
"Sgcb","Sgcb","Sgcb"
"Lrrc66","Lrrc66","Lrrc66"
"Dcun1d4","Dcun1d4","Dcun1d4"
"Cwh43","Cwh43","Cwh43"
"Ociad2","Ociad2","Ociad2"
"Ociad1","Ociad1","Ociad1"
"Fryl","Fryl","Fryl"
"Zar1","Zar1","Zar1"
"Slain2","Slain2","Slain2"
"Tec","Tec","Tec"
"Txk","Txk","Txk"
"Cnga1","Cnga1","Cnga1"
"Nfxl1","Nfxl1","Nfxl1"
"Corin","Corin","Corin"
"Atp10d","Atp10d","Atp10d"
"Commd8","Commd8","Commd8"
"Gabrb1","Gabrb1","Gabrb1"
"Gabra4","Gabra4","Gabra4"
"Cox7b2","Cox7b2","Cox7b2"
"Gabra2","Gabra2","Gabra2"
"Gabrg1","Gabrg1","Gabrg1"
"Gnpda2","Gnpda2","Gnpda2"
"Guf1","Guf1","Guf1"
"Yipf7","Yipf7","Yipf7"
"Kctd8","Kctd8","Kctd8"
"Grxcr1","Grxcr1","Grxcr1"
"Atp8a1","Atp8a1","Atp8a1"
"Shisa3","Shisa3","Shisa3"
"Bend4","Bend4","Bend4"
"Slc30a9","Slc30a9","Slc30a9"
"Tmem33","Tmem33","Tmem33"
"Limch1","Limch1","Limch1"
"Uchl1","Uchl1","Uchl1"
"Apbb2","Apbb2","Apbb2"
"Nsun7","Nsun7","Nsun7"
"Rbm47","Rbm47","Rbm47"
"Chrna9","Chrna9",NA
"Rhoh","Rhoh","Rhoh"
"N4bp2","N4bp2","N4bp2"
"Pds5a","Pds5a","Pds5a"
"Ube2k","Ube2k","Ube2k"
"Smim14","Smim14","Smim14"
"Ugdh","Ugdh","Ugdh"
"Lias","Lias","Lias"
"Rfc1","Rfc1","Rfc1"
"Wdr19","Wdr19","Wdr19"
"LOC100910864","Slc25a51","Slc25a51"
"Klhl5","Klhl5","Klhl5"
"Tmem156","Tmem156","Tmem156"
"Tlr6","Tlr6","Tlr6"
"Tlr1","Tlr1","Tlr1"
"Klf3","Klf3","Klf3"
"Tbc1d1","Tbc1d1","Tbc1d1"
"Pgm2","Pgm2","Pgm2"
"Rell1","Rell1","Rell1"
"LOC498368","0610040J01Rik","0610040J01Rik"
"Nwd2","Nwd2","Nwd2"
"Arap2","Arap2","Arap2"
"Pcdh7","Pcdh7","Pcdh7"
"Stim2","Stim2","Stim2"
"Tbc1d19","Tbc1d19","Tbc1d19"
"Sel1l3","Sel1l3","Sel1l3"
"Anapc4","Anapc4","Anapc4"
"Zcchc4","Zcchc4","Zcchc4"
"Pi4k2b","Pi4k2b","Pi4k2b"
"Sepsecs","Sepsecs","Sepsecs"
"Lgi2","Lgi2","Lgi2"
"Ccdc149","Ccdc149","Ccdc149"
"Sod3","Sod3","Sod3"
"Dhx15","Dhx15","Dhx15"
"Ppargc1a","Ppargc1a","Ppargc1a"
"Adgra3","Adgra3","Adgra3"
"Kcnip4","Kcnip4","Kcnip4"
"Pacrgl","5730480H06Rik","5730480H06Rik"
"Slit2","Slit2","Slit2"
"Lcorl","Lcorl","Lcorl"
"Ncapg","Ncapg","Ncapg"
"Fam184b","Fam184b","Fam184b"
"Med28","Med28","Med28"
"Lap3","Lap3","Lap3"
"Qdpr","Qdpr","Qdpr"
"Ldb2","Ldb2","Ldb2"
"Tapt1","Tapt1","Tapt1"
"Prom1","Prom1","Prom1"
"Fgfbp1","Fgfbp1","Fgfbp1"
"Cd38","Cd38","Cd38"
"Bst1","Bst1","Bst1"
"Fbxl5","Fbxl5","Fbxl5"
"Cc2d2a","Cc2d2a","Cc2d2a"
"C1qtnf7","C1qtnf7","C1qtnf7"
"Cpeb2","Cpeb2","Cpeb2"
"Bod1l1","Bod1l","Bod1l"
"Rab28","Rab28","Rab28"
"Hs3st1","Hs3st1","Hs3st1"
"Clnk","Clnk","Clnk"
"Zfp518b","Zfp518b","Zfp518b"
"Wdr1","Wdr1","Wdr1"
"Slc2a9","Slc2a9","Slc2a9"
"Drd5","Drd5",NA
"Tmem128","Tmem128","Tmem128"
"Lyar","Lyar","Lyar"
"Zbtb49","Zbtb49","Zbtb49"
"Nsg1","Nsg1","Nsg1"
"Stx18","Stx18","Stx18"
"Cytl1","Cytl1","Cytl1"
"Stk32b","Stk32b",NA
"Evc2","Evc2","Evc2"
"Evc","Evc","Evc"
"Crmp1","Crmp1","Crmp1"
"LOC102553825","Gm1043","Gm1043"
"Jakmip1","Jakmip1","Jakmip1"
"Wfs1","Wfs1","Wfs1"
"Ppp2r2c","Ppp2r2c","Ppp2r2c"
"Bloc1s4","Bloc1s4","Bloc1s4"
"LOC680039","D5Ertd579e","D5Ertd579e"
"Tbc1d14","Tbc1d14","Tbc1d14"
"Ccdc96","Ccdc96","Ccdc96"
"Tada2b","Tada2b","Tada2b"
"Grpel1","Grpel1","Grpel1"
"Sorcs2","Sorcs2","Sorcs2"
"Psapl1","Psapl1","Psapl1"
"Afap1","Afap1","Afap1"
"Ablim2","Ablim2","Ablim2"
"Sh3tc1","Sh3tc1","Sh3tc1"
"Htra3","Htra3","Htra3"
"Acox3","Acox3","Acox3"
"Trmt44","Trmt44","Trmt44"
"Cpz","Cpz","Cpz"
"Adra2c","Adra2c","Adra2c"
"Lrpap1","Lrpap1","Lrpap1"
"Dok7","Dok7","Dok7"
"Hgfac","Hgfac","Hgfac"
"Rgs12","Rgs12","Rgs12"
"Msantd1","Msantd1","Msantd1"
"Htt","Htt","Htt"
"Grk4","Grk4","Grk4"
"Nop14","Nop14","Nop14"
"Mfsd10","Mfsd10","Mfsd10"
"Add1","Add1","Add1"
"Sh3bp2","Sh3bp2","Sh3bp2"
"Tnip2","Tnip2","Tnip2"
"Fam193a","Fam193a","Fam193a"
"Rnf4","Rnf4","Rnf4"
"Cfap99","Cfap99","Cfap99"
"Zfyve28","Zfyve28","Zfyve28"
"Mxd4","Mxd4","Mxd4"
"Nat8l","Nat8l","Nat8l"
"RGD1560394","Gm1673","Gm1673"
"Nelfa","Nelfa","Nelfa"
"Nsd2","Nsd2","Nsd2"
"Letm1","Letm1","Letm1"
"Fgfr3","Fgfr3","Fgfr3"
"Tacc3","Tacc3","Tacc3"
"Tmem129","Tmem129","Tmem129"
"Slbp","Slbp","Slbp"
"Fam53a","Fam53a","Fam53a"
"Uvssa","Uvssa","Uvssa"
"Maea","Maea","Maea"
"Ctbp1","Ctbp1","Ctbp1"
"Spon2","Spon2","Spon2"
"Ywhah","Ywhah","Ywhah"
"Depdc5","Depdc5","Depdc5"
"Prr14l","Prr14l","Prr14l"
"Pisd","Pisd","Pisd"
"Sfi1","Sfi1","Sfi1"
"Eif4enif1","Eif4enif1","Eif4enif1"
"Drg1","Drg1","Drg1"
"Patz1","Patz1","Patz1"
"Pik3ip1","Pik3ip1","Pik3ip1"
"Limk2","Limk2","Limk2"
"Rnf185","Rnf185","Rnf185"
"Pla2g3","Pla2g3","Pla2g3"
"Inpp5j","Inpp5j","Inpp5j"
"Selenom","Selenom","Selenom"
"Smtn","Smtn","Smtn"
"Tug1","Tug1","Tug1"
"Morc2","Morc2a","Morc2a"
"Osbp2","Osbp2","Osbp2"
"Dusp18","Dusp18","Dusp18"
"Slc35e4","Slc35e4","Slc35e4"
"Tcn2","Tcn2","Tcn2"
"Pes1","Pes1","Pes1"
"Gal3st1","Gal3st1","Gal3st1"
"Mtfp1","Mtfp1","Mtfp1"
"Sec14l2","Sec14l2","Sec14l2"
"Rnf215","Rnf215","Rnf215"
"Ccdc157","Ccdc157","Ccdc157"
"Sf3a1","Sf3a1","Sf3a1"
"Tbc1d10a","Tbc1d10a","Tbc1d10a"
"Castor1","Castor1","Castor1"
"Osm","Osm","Osm"
"Lif","Lif","Lif"
"Hormad2","Hormad2","Hormad2"
"Mtmr3","Mtmr3","Mtmr3"
"Ascc2","Ascc2","Ascc2"
"Uqcr10","Uqcr10","Uqcr10"
"Zmat5","Zmat5","Zmat5"
"Cabp7","Cabp7","Cabp7"
"Nf2","Nf2","Nf2"
"Nipsnap1","Nipsnap1","Nipsnap1"
"Thoc5","Thoc5","Thoc5"
"Ap1b1","Ap1b1","Ap1b1"
"Gas2l1","Gas2l1","Gas2l1"
"Rasl10a","Rasl10a","Rasl10a"
"Ewsr1","Ewsr1","Ewsr1"
"Rhbdd3","Rhbdd3","Rhbdd3"
"Emid1","Emid1","Emid1"
"Kremen1","Kremen1","Kremen1"
"Znrf3","Znrf3","Znrf3"
"Xbp1","Xbp1","Xbp1"
"Ccdc117","Ccdc117","Ccdc117"
"Ankrd36","Ankrd36","Ankrd36"
"Mrps24","Mrps24","Mrps24"
"Urgcp","Urgcp","Urgcp"
"Dbnl","Dbnl","Dbnl"
"Pgam2","Pgam2","Pgam2"
"Polm","Polm","Polm"
"Aebp1","Aebp1","Aebp1"
"Pold2","Pold2","Pold2"
"Myl7","Myl7",NA
"Gck","Gck","Gck"
"Ykt6","Ykt6","Ykt6"
"Camk2b","Camk2b","Camk2b"
"Nudcd3","Nudcd3","Nudcd3"
"Npc1l1","Npc1l1","Npc1l1"
"Ddx56","Ddx56","Ddx56"
"Tmed4","Tmed4","Tmed4"
"Ogdh","Ogdh","Ogdh"
"Zmiz2","Zmiz2","Zmiz2"
"Purb","Purb","Purb"
"Myo1g","Myo1g","Myo1g"
"Ccm2","Ccm2","Ccm2"
"Nacad","Nacad","Nacad"
"Tbrg4","Tbrg4","Tbrg4"
"Wap","Wap","Wap"
"Ramp3","Ramp3","Ramp3"
"Adcy1","Adcy1","Adcy1"
"Igfbp1","Igfbp1","Igfbp1"
"Igfbp3","Igfbp3","Igfbp3"
"Tns3","Tns3","Tns3"
"Hus1","Hus1","Hus1"
"Sun3","Sun3","Sun3"
"LOC688553","Gm11992","Gm11992"
"Upp1","Upp1","Upp1"
"Abca13","Abca13","Abca13"
"Vwc2","Vwc2","Vwc2"
"Zpbp","Zpbp","Zpbp"
"Spata48","Spata48","Spata48"
"Ikzf1","Ikzf1","Ikzf1"
"Fignl1","Fignl1","Fignl1"
"Ddc","Ddc","Ddc"
"Grb10","Grb10","Grb10"
"Cobl","Cobl","Cobl"
"LOC100361025","Prmt1","Prmt1"
